Date,Open,High,Low,Close,Volume,Adj Close
2017-01-09,57.259998,58.34,57.25,58.200001,12632300,58.200001
2017-01-06,56.630001,57.27,56.080002,57.130001,8582200,57.130001
2017-01-05,56.080002,56.529999,55.810001,56.459999,7593100,56.459999
2017-01-04,55.560001,56.200001,55.380001,55.990002,7759900,55.990002
2017-01-03,55.91,55.950001,55.040001,55.349998,7798800,55.349998
2016-12-30,56.279999,56.450001,55.400002,55.52,8295000,55.52
2016-12-29,56.349998,56.470001,56.139999,56.32,3780900,56.32
2016-12-28,56.799999,56.900002,56.25,56.349998,5486400,56.349998
2016-12-27,56.990002,57.389999,56.810001,56.860001,4185400,56.860001
2016-12-23,57.290001,57.360001,56.889999,57.009998,4297300,57.009998
2016-12-22,57.310001,57.400002,56.720001,57.110001,6372200,57.110001
2016-12-21,57.50,57.869999,57.41,57.439999,5373100,57.439999
2016-12-20,57.810001,58.060001,57.32,57.700001,4886400,57.700001
2016-12-19,57.439999,57.98,57.439999,57.650002,6419400,57.650002
2016-12-16,58.009998,58.07,57.560001,57.66,10580600,57.66
2016-12-15,57.970001,58.209999,57.52,57.709999,11821300,57.709999
2016-12-14,59.029999,59.25,58.599998,58.75,8873400,58.75
2016-12-13,58.990002,59.540001,58.66,59.310001,8768500,59.310001
2016-12-12,58.540001,58.790001,58.34,58.77,7735200,58.77
2016-12-09,58.919998,58.950001,58.43,58.75,7091300,58.75
2016-12-08,59.00,59.25,58.41,58.650002,7970100,58.650002
2016-12-07,57.540001,58.849998,57.450001,58.759998,9056800,58.759998
2016-12-06,57.66,57.700001,57.139999,57.439999,7013100,57.439999
2016-12-05,56.959999,57.84,56.959999,57.50,7686600,57.50
2016-12-02,56.650002,57.75,56.57,57.209999,16822900,57.209999
2016-12-01,57.34,58.52,57.200001,58.509998,11822700,58.509998
2016-11-30,58.189999,58.25,57.860001,57.970001,9487300,57.970001
2016-11-29,57.639999,58.209999,57.50,58.169998,10559500,58.169998
2016-11-28,57.00,57.860001,56.759998,57.59,8681400,57.59
2016-11-25,57.700001,57.700001,57.259998,57.43,3215300,57.43
2016-11-23,56.91,57.639999,56.900002,57.59,8177000,57.59
2016-11-22,56.32,57.150002,55.880001,57.119999,10246600,57.119999
2016-11-21,55.509998,56.16,55.509998,56.099998,8002200,56.099998
2016-11-18,55.720001,56.119999,55.419998,55.77,8728300,55.77
2016-11-17,55.220001,55.900002,55.060001,55.849998,8717200,55.849998
2016-11-16,54.330002,55.52,54.259998,55.439999,10774600,55.439999
2016-11-15,54.09,54.689999,53.900002,54.59,9331700,54.59
