date,gasoline
Jan-45,1300
Feb-45,1382
Mar-45,1372
Apr-45,1512
May-45,1533
Jun-45,1570
Jul-45,1658
Aug-45,1838
Sep-45,1831
Oct-45,1720
Nov-45,1745
Dec-45,1577
Jan-46,1623
Feb-46,1675
Mar-46,1800
Apr-46,2043
May-46,2122
Jun-46,2076
Jul-46,2187
Aug-46,2112
Sep-46,2042
Oct-46,2108
Nov-46,2013
Dec-46,1931
Jan-47,1808
Feb-47,1773
Mar-47,1900
Apr-47,2077
May-47,2233
Jun-47,2317
Jul-47,2300
Aug-47,2262
Sep-47,2294
Oct-47,2280
Nov-47,2061
Dec-47,2097
Jan-48,1904
Feb-48,1881
Mar-48,2110
Apr-48,2316
May-48,2373
Jun-48,2488
Jul-48,2533
Aug-48,2475
Sep-48,2449
Oct-48,2326
Nov-48,2311
Dec-48,2186
Jan-49,1965
Feb-49,1992
Mar-49,2264
Apr-49,2413
May-49,2530
Jun-49,2680
Jul-49,2555
Aug-49,2623
Sep-49,2599
Oct-49,2471
Nov-49,2457
Dec-49,2351
Jan-50,2102
Feb-50,2196
Mar-50,2449
Apr-50,2588
May-50,2784
Jun-50,2889
Jul-50,2855
Aug-50,2905
Sep-50,2747
Oct-50,2741
Nov-50,2638
Dec-50,2467
Jan-51,2597
Feb-51,2597
Mar-51,2799
Apr-51,2913
May-51,3227
Jun-51,3205
Jul-51,3237
Aug-51,3266
Sep-51,3056
Oct-51,3225
Nov-51,2946
Dec-51,2721
Jan-52,2638
Feb-52,2655
Mar-52,2600
Apr-52,3073
May-52,3106
Jun-52,3101
Jul-52,3211
Aug-52,3112
Sep-52,3114
Oct-52,3108
Nov-52,2802
Dec-52,2912
Jan-53,2673
Feb-53,2825
Mar-53,2949
Apr-53,3141
May-53,3162
Jun-53,3523
Jul-53,3385
Aug-53,3250
Sep-53,3255
Oct-53,3159
Nov-53,3041
Dec-53,2942
Jan-54,2732
Feb-54,2884
Mar-54,3072
Apr-54,3267
May-54,3184
Jun-54,3541
Jul-54,3425
Aug-54,3354
Sep-54,3282
Oct-54,3220
Nov-54,3199
Dec-54,3149
Jan-55,2983
Feb-55,3028
Mar-55,3256
Apr-55,3541
May-55,3583
Jun-55,3801
Jul-55,3607
Aug-55,3759
Sep-55,3626
Oct-55,3471
Nov-55,3481
Dec-55,3400
Jan-56,3075
Feb-56,3209
Mar-56,3425
Apr-56,3566
May-56,3769
Jun-56,4004
Jul-56,3696
Aug-56,3836
Sep-56,3509
Oct-56,3645
Nov-56,3542
Dec-56,3290
Jan-57,3292
Feb-57,3254
Mar-57,3424
Apr-57,3639
May-57,3801
Jun-57,3853
Jul-57,3976
Aug-57,3942
Sep-57,3620
Oct-57,3664
Nov-57,3429
Dec-57,3456
Jan-58,3315
Feb-58,3297
Mar-58,3359
Apr-58,3803
May-58,3881
Jun-58,4010
Jul-58,4025
Aug-58,3950
Sep-58,3804
Oct-58,3838
Nov-58,3514
Dec-58,3702
Jan-59,3504
Feb-59,3381
Mar-59,3648
Apr-59,3967
May-59,3928
Jun-59,4274
Jul-59,4194
Aug-59,4083
Sep-59,4133
Oct-59,3701
Nov-59,3694
Dec-59,3783
Jan-60,3412
Feb-60,3560
Mar-60,3694
Apr-60,4132
May-60,3999
Jun-60,4453
Jul-60,4178
Aug-60,4279
Sep-60,4101
Oct-60,3936
Nov-60,4015
Dec-60,3868
Jan-61,3537
Feb-61,3607
Mar-61,3938
Apr-61,3804
May-61,4281
Jun-61,4467
Jul-61,4268
